Date,Open,High,Low,Close,Adj Close,Volume
27-05-2020,84.099998,86,84,84.550003,84.287308,57947903
26-05-2020,83.90000153,85.69999695,82.59999847,83.09999847,82.58694458,38014864
22-05-2020,83.400002,83.900002,82,82.800003,82.54274,29252676
21-05-2020,83.099998,85.199997,82.900002,84.099998,83.838699,37290144
20-05-2020,81.25,84.400002,80.699997,83.449997,83.19072,36351053
19-05-2020,82.5,85.65000153,81.5,81.80000305,81.29498291,65378983
18-05-2020,84.5,84.5,79.59999847,80.65000153,80.15207672,44221170
15-05-2020,84.699997,85.349998,82.800003,84.349998,84.087921,38592209
14-05-2020,83.949997,85.300003,82.550003,83.800003,83.539635,46340453
13-05-2020,92.5,92.5,86.25,87.199997,86.929062,68086031
11-05-2020,137,138,136,137.6499939,136.8001709,38928602
10-05-2020,136.949997,137.5,132.050003,133.899994,133.483963,55268322
08-05-2020,112.400002,117.650002,112,115.400002,115.041451,99371050
06-05-2020,100.449997,112.449997,99.050003,110.75,110.405899,187209208
05-05-2020,86,86.80000305,80.40000153,80.90000153,80.40053558,57122148
03-05-2020,127.5500031,129.1499939,124.25,125.75,124.9736328,87795649
02-05-2020,167.399994,184.949997,166.600006,183.75,183.179092,92982265
30-04-2020,85.94999695,93.75,85.94999695,93.25,92.67428589,170634033
29-04-2020,77.44999695,79.30000305,76.55000305,78.15000153,77.66751099,40784783
28-04-2020,75.650002,78.199997,75.199997,76.949997,76.710915,34825405
27-04-2020,75.900002,76.199997,74.800003,75.25,75.016197,27835340
24-04-2020,75,76.90000153,74,74.19999695,73.74189758,40047438
23-04-2020,76.75,78.65000153,75.40000153,75.65000153,75.18294525,50366856
22-04-2020,74.449997,76.550003,72.550003,75.900002,75.664177,56529293
21-04-2020,78,78,74,74.65000153,74.18911743,58248325
20-04-2020,76.849998,83.400002,75.5,80.449997,80.200035,125425355
17-04-2020,78.300003,78.300003,74.699997,76.849998,76.611221,58333485
16-04-2020,71.75,75.40000153,71,74.65000153,74.18911743,47910164
15-04-2020,75.40000153,78.69999695,71.94999695,72.90000153,72.44992828,81121081
13-04-2020,76,77.599998,72.699997,74.25,74.019302,70409900
12-04-2020,186.5,188.800003,182.199997,184.149994,183.577835,47995639
11-04-2020,135.6000061,137,134,135.8999939,135.0609589,44675934
09-04-2020,147.899994,153.649994,147,147.800003,147.34079,95560889
08-04-2020,112.9499969,115.0999985,110.8000031,111.4499969,110.7619171,95906477
06-04-2020,99,101.4000015,96.80000305,98.5,97.89187622,72078707
05-04-2020,87,87.199997,81.5,83.900002,83.63932,91159477
03-04-2020,129.600006,129.600006,120.550003,126.199997,125.807892,97546902
02-04-2020,166.5500031,168.6000061,161.1999969,165.6999969,164.6769867,49034642
31-03-2020,70.59999847,71.5,68.19999695,71.05000305,70.61134338,46157286
30-03-2020,68.800003,70,67.25,68.150002,67.938255,35278010
27-03-2020,72.050003,75.900002,69.349998,70.699997,70.480331,58814757
26-03-2020,71.449997,73.5,68.300003,70.800003,70.580025,63821068
25-03-2020,67.75,71.69999695,67.25,70.25,69.81628418,57713806
24-03-2020,69.90000153,71.5,63.5,68.55000305,68.12678528,49551990
23-03-2020,70,72,66,66.199997,65.994316,34184325
20-03-2020,74,79.59999847,72.65000153,77.30000305,76.82276154,86043342
19-03-2020,70,76.5,68.75,72.949997,72.723343,68122549
18-03-2020,79.90000153,80.44999695,75.09999847,75.5,75.03386688,70105052
17-03-2020,83.050003,85,77.400002,77.949997,77.707802,71842549
16-03-2020,85.59999847,87.65000153,82.19999695,82.94999695,82.43787384,73702778
13-03-2020,81.90000153,94.15000153,78.05000305,89.75,89.19589233,106151311
12-03-2020,185,186,183.25,184.850006,184.275681,33332481
11-03-2020,135,137.399994,133.550003,134.100006,133.68335,52071476
09-03-2020,151.600006,155.199997,149.550003,151.850006,151.378204,110156350
08-03-2020,103,114.400002,102.900002,113.050003,112.698753,194765344
07-03-2020,102.849998,106.349998,102.099998,103.449997,103.128578,87310642
06-03-2020,100,101.449997,97.400002,98.75,98.443184,90598067
04-03-2020,66.90000153,66.90000153,64.80000305,65.30000305,64.89685059,35346301
03-03-2020,127.5,131.399994,125.25,130.350006,129.945007,86765576
02-03-2020,163.5,168.3000031,159.5500031,163.8500061,162.8384247,66616190
01-03-2020,192.899994,195.649994,189.25,191.100006,190.506256,47572728
28-02-2020,138.850006,139.600006,127.050003,128.949997,128.549347,94469619
27-02-2020,144.1499939,146.75,141.1000061,145.25,144.353241,51328153
26-02-2020,146.899994,147.899994,143.699997,144.550003,144.100891,47605927
25-02-2020,152.1999969,153.3999939,147.4499969,149.8999939,148.9745178,52719851
24-02-2020,154,155.8999939,149.6000061,150.6499939,149.7198944,39706007
20-02-2020,157.9499969,162.3000031,156,158.5,157.5214386,54328194
19-02-2020,162.8500061,164.6000061,153.0500031,158.0500031,157.0742188,78914233
18-02-2020,168,168,158.600006,161.600006,161.097916,52744122
17-02-2020,170.399994,171.350006,166.350006,169.100006,168.574615,32893274
14-02-2020,172,176.199997,168.300003,169.100006,168.574615,56676430
13-02-2020,171.350006,172.350006,168.100006,169.5,168.973358,25049848
12-02-2020,184,187.350006,181.100006,183.600006,183.029556,88107889
11-02-2020,133.6499939,134,131.1000061,132.8500061,132.0298004,40388690
09-02-2020,144.300003,151.649994,141.449997,150.300003,149.833023,74947929
07-02-2020,100.75,102.9499969,100.4000015,101.5500031,100.9230499,48083736
06-02-2020,90,97.300003,89.75,96.5,96.200172,125407771
03-02-2020,133,133.899994,123.800003,125.400002,125.010384,111585697
01-02-2020,185,194.699997,184.600006,193.75,193.14801,57289863
31-01-2020,186.3000031,188.3500061,175.9499969,176.6000061,175.5097046,75621897
30-01-2020,190.949997,192.550003,184.25,186.199997,185.621475,70900581
29-01-2020,178.800003,188.899994,178.550003,188.050003,187.465729,61585660
28-01-2020,183.899994,184.300003,174.899994,176.100006,175.552856,38283588
27-01-2020,185.699997,186.899994,180.850006,182.199997,181.633896,30132428
24-01-2020,188,191,185,186.5,185.920547,21791825
23-01-2020,186.75,190.3999939,183.8000031,188.3999939,187.2368317,33032086
22-01-2020,191.9499969,192.5,184.25,185.6000061,184.4541321,32952072
21-01-2020,195.5,196.3999939,190.1999969,191.3999939,190.2183075,20859400
20-01-2020,198,201.449997,194.300003,195,194.394135,28976013
17-01-2020,197.25,199.4499969,195.6999969,197.3000031,196.0819092,18204088
16-01-2020,199.5,200.600006,196.899994,197.550003,196.936218,28118140
15-01-2020,195,201.6999969,194,200.3500061,199.1130676,38485962
14-01-2020,195.6999969,198.25,193.6000061,195.8500061,194.6408539,29867542
13-01-2020,194.75,197.75,191.3999939,196.25,195.0383759,40535961
12-01-2020,182.3500061,182.3999939,178.1000061,179.75,178.6402435,48881250
10-01-2020,135.899994,136.5,132.550003,133.5,133.08522,40491744
09-01-2020,143.399994,145.149994,140.399994,143.800003,143.35321,58811543
07-01-2020,99,101.449997,98.199997,100.75,100.436966,50857376
06-01-2020,88.900002,91.199997,88,89.550003,89.271767,71070852
04-01-2020,70.5,71.65000153,67.55000305,67.94999695,67.53047943,38149007
01-01-2020,185.1499939,186.6999969,183.6000061,184.4499969,183.3112183,25968357
31-12-2019,184,187.899994,181.550003,185.149994,184.574738,52869996
30-12-2019,177.199997,184.350006,176.300003,183.699997,183.129242,40948394
27-12-2019,176,176.949997,174.850006,176.149994,175.602692,12095797
26-12-2019,175.899994,176.449997,174.100006,174.600006,174.057526,18785333
24-12-2019,177.649994,178,174.649994,175.5,174.954712,20560311
23-12-2019,176.850006,179,174.149994,176.050003,175.503021,27192195
20-12-2019,180.399994,181.699997,174.850006,175.949997,175.40332,48818008
19-12-2019,174.649994,180.199997,174,179.149994,178.593369,53466924
18-12-2019,182.100006,184.5,170.449997,174.800003,174.256897,63861334
17-12-2019,176,181.149994,175.350006,180.199997,179.640106,38213263
16-12-2019,177,178.800003,173.350006,174.949997,174.406418,26249975
13-12-2019,177.25,183.949997,175.5,176.699997,176.150986,93019636
12-12-2019,163.449997,174.899994,162.5,173.350006,172.811401,66138915
09-12-2019,134.600006,135.350006,126.699997,127.949997,127.552452,72084195
07-12-2019,155.899994,162.850006,154,159.300003,158.805054,27307153
06-12-2019,170.899994,172.199997,168.100006,169.050003,168.524765,12819208
04-12-2019,218.949997,219,215,215.949997,215.279037,21788548
03-12-2019,184.399994,186,183.550003,184.800003,184.22583,18657724
02-12-2019,152.949997,154.399994,150.600006,151.800003,151.328354,14174912
29-11-2019,164.800003,167.75,160.600006,161.5,160.998215,20010205
28-11-2019,165.75,166.300003,163.550003,164.800003,164.287964,16609775
27-11-2019,165.300003,169.300003,165,165.899994,165.384537,29527702
26-11-2019,166.649994,167.300003,162.550003,163.399994,162.892303,25520822
25-11-2019,160.699997,166.600006,159.899994,166.100006,165.583939,26131453
22-11-2019,164.899994,165.25,160.550003,162.350006,161.845581,21200979
21-11-2019,166.949997,170.100006,163,164.149994,163.639984,21609120
20-11-2019,167.75,170.199997,166.199997,167.399994,166.879883,19504078
19-11-2019,170.800003,171.75,167.100006,167.75,167.228806,19599195
18-11-2019,172.100006,172.100006,169.25,170.100006,169.571503,19053232
15-11-2019,169,173.399994,167.350006,168.550003,168.026321,29614682
14-11-2019,170.199997,170.300003,165.5,167.050003,166.530975,25433481
13-11-2019,171.5,176,169.399994,170.600006,170.069946,33926248
12-11-2019,160.399994,163,157.399994,161.800003,161.297287,21154277
11-11-2019,169.199997,172.949997,169.050003,172,171.465591,22192924
10-11-2019,118.050003,122.199997,117.25,121.300003,120.923126,41027561
09-11-2019,127,135,125.300003,134.350006,133.932587,96568372
07-11-2019,153,157.699997,150.350006,156.800003,156.31282,24099895
06-11-2019,166.850006,171.899994,165.649994,170.75,170.219482,20363493
04-11-2019,216.600006,219.199997,213.300003,218.199997,217.522049,41859862
03-11-2019,182,184.600006,181.050003,181.850006,181.285004,25669662
02-11-2019,150.149994,153.25,145.850006,152.649994,152.175705,26161867
01-11-2019,186.550003,187.75,179.399994,180.300003,179.739807,25902974
31-10-2019,169.800003,179.649994,168.949997,177.699997,177.147888,81392641
30-10-2019,175,175.649994,166.550003,171.899994,171.365906,90759545
29-10-2019,151.899994,175.5,151.199997,172.449997,171.9142,184435614
27-10-2019,139.5,150.699997,139.5,147.699997,147.241089,39489993
